Tanggal,Waktu Mulai,Waktu Selesai,Durasi (Detik),Akurasi Tertinggi (%)
2026-07-10,10:58:09,10:58:14,5.09,93.3%
2026-07-10,10:58:19,10:58:20,1.13,71.8%
2026-07-10,10:58:33,10:58:41,8.00,94.2%
2026-07-10,10:58:45,10:58:46,1.73,84.9%
2026-07-10,11:41:49,11:53:22,692.76,95.4%
2026-07-10,13:28:02,13:28:04,1.10,85.2%
2026-07-10,13:28:06,13:28:45,39.67,94.0%
2026-07-10,13:28:49,13:28:55,6.10,91.6%
2026-07-10,14:25:08,14:25:12,4.57,88.5%
2026-07-10,14:52:38,14:52:45,7.60,85.6%
2026-07-10,14:52:47,14:52:54,6.69,81.0%
2026-07-10,14:52:56,14:53:01,5.33,78.8%
2026-07-10,14:53:04,14:53:07,3.35,88.9%
2026-07-10,14:53:19,14:53:39,19.29,84.1%
2026-07-10,14:53:41,14:54:08,26.66,87.3%
2026-07-10,14:54:10,14:54:11,1.53,76.6%
2026-07-10,14:54:14,14:54:15,1.20,73.1%
2026-07-10,14:54:18,14:54:22,3.60,76.2%
2026-07-10,14:54:24,14:54:32,8.27,84.6%
2026-07-10,14:54:35,14:57:57,202.48,90.4%
2026-07-10,14:58:01,14:58:50,49.54,80.1%
2026-07-10,14:58:55,14:58:56,1.53,72.8%
2026-07-10,14:59:04,14:59:24,20.75,83.0%
2026-07-10,14:59:28,14:59:32,3.93,80.6%
2026-07-10,14:59:34,14:59:56,21.70,82.9%
2026-07-10,15:00:01,15:00:03,1.54,69.4%
2026-07-10,15:00:05,15:01:41,96.08,84.3%
2026-07-10,15:01:43,15:01:45,2.58,69.3%
2026-07-10,15:01:50,15:02:05,14.90,79.4%
2026-07-10,15:02:07,15:04:02,114.77,82.8%
2026-07-10,15:04:04,15:04:06,1.39,89.5%
2026-07-10,15:04:08,15:04:09,1.07,76.9%
2026-07-10,15:24:09,15:29:01,292.39,95.9%
2026-07-10,15:29:05,15:29:07,1.34,91.4%
2026-07-10,15:29:09,15:29:21,11.50,95.1%
2026-07-10,15:32:52,15:33:45,53.85,95.2%
2026-07-10,15:38:11,15:38:53,41.44,94.4%
2026-07-13,09:22:43,09:22:51,8.07,93.0%
2026-07-13,09:22:53,09:23:17,23.75,87.0%
2026-07-13,09:23:19,09:23:28,9.27,89.4%
2026-07-13,09:23:31,09:23:58,26.66,74.6%
2026-07-13,09:24:02,09:24:35,33.28,85.0%
2026-07-13,09:24:37,09:25:32,54.81,89.1%
2026-07-13,09:25:34,09:26:39,65.12,89.6%
2026-07-13,09:26:43,09:26:55,11.88,90.3%
2026-07-13,09:26:57,09:27:09,12.17,89.2%
2026-07-13,09:27:12,09:27:22,9.67,89.4%
2026-07-13,09:27:26,09:37:21,595.66,94.1%
2026-07-13,09:37:23,09:37:47,23.81,74.1%
2026-07-13,09:37:54,09:38:13,19.10,86.7%
2026-07-13,09:38:15,09:38:28,12.97,84.5%
2026-07-13,09:38:30,09:38:36,5.60,87.8%
2026-07-13,09:38:38,09:38:46,8.20,82.1%
2026-07-13,09:38:49,09:39:07,17.96,73.6%
2026-07-13,09:39:10,09:45:41,390.47,92.1%
2026-07-13,09:45:43,09:46:37,54.76,91.7%
2026-07-13,09:46:39,09:48:56,136.29,93.3%
2026-07-13,09:49:08,09:49:12,4.86,84.2%
2026-07-13,09:49:15,09:50:50,95.98,91.9%
2026-07-13,10:09:41,10:09:54,13.10,76.3%
2026-07-13,10:09:56,10:11:14,77.68,90.7%
2026-07-13,10:11:17,10:14:09,172.09,95.2%
2026-07-13,10:14:20,10:14:21,1.00,90.5%
2026-07-13,10:14:41,10:15:11,30.86,94.6%
2026-07-13,10:15:43,10:22:15,392.47,93.7%
2026-07-13,10:22:19,10:22:22,3.13,85.7%
2026-07-13,10:22:37,10:22:42,4.90,86.1%
2026-07-13,10:23:01,10:24:31,89.37,87.0%
2026-07-13,10:24:34,10:24:36,1.27,89.9%
2026-07-13,10:24:43,10:25:29,46.25,90.9%
2026-07-13,10:25:32,10:30:16,284.08,93.4%
2026-07-13,10:30:22,10:30:30,8.66,81.4%
2026-07-13,10:30:34,10:30:36,2.10,86.6%
2026-07-13,10:30:39,10:31:20,41.18,83.1%
2026-07-13,10:31:24,10:31:46,22.43,89.8%
2026-07-13,10:32:08,10:32:18,9.77,91.8%
2026-07-13,10:32:26,10:33:17,50.60,93.5%
2026-07-13,10:33:25,10:34:12,47.04,90.4%
2026-07-13,10:34:25,10:59:01,1475.78,96.5%
2026-07-13,10:59:14,10:59:42,27.90,90.8%
2026-07-13,10:59:52,11:00:50,57.94,91.9%
2026-07-24,08:24:24,08:24:29,4.80,87.0%
2026-07-24,08:24:33,08:24:56,22.60,87.7%
2026-07-24,08:25:00,08:25:17,17.67,88.4%
2026-07-24,08:25:19,08:25:24,4.74,88.2%
2026-07-24,08:25:28,08:25:33,4.47,72.1%
2026-07-24,08:25:35,08:25:41,5.16,62.4%
2026-07-24,08:25:47,08:25:49,1.80,74.1%
2026-07-24,08:26:00,08:26:58,57.92,92.9%
2026-07-24,08:27:00,08:28:02,61.98,92.6%
2026-07-24,09:03:11,09:04:56,105.00,93.7%
2026-07-24,09:24:59,09:25:03,3.30,92.4%
2026-07-24,09:25:06,09:25:12,6.74,92.9%
2026-07-24,09:36:10,09:37:29,78.28,93.7%
2026-07-24,09:37:32,09:37:55,23.40,93.2%
2026-07-24,09:38:03,09:40:03,120.08,92.4%
2026-07-24,09:40:06,09:43:22,195.89,93.6%
2026-07-24,09:47:40,09:56:55,554.96,95.3%
2026-07-24,09:56:58,09:59:30,152.19,94.2%
2026-07-24,09:59:35,09:59:43,8.52,91.2%
2026-07-24,09:59:46,10:00:49,62.54,92.3%
2026-07-24,10:34:32,10:35:59,87.01,91.9%
2026-07-24,10:36:05,10:40:02,237.19,92.7%
2026-07-24,10:40:10,10:40:17,6.33,92.6%
2026-07-24,10:48:17,10:48:53,35.71,88.6%
2026-07-24,10:50:59,10:51:12,13.07,89.5%
2026-07-24,10:51:37,10:52:50,72.87,89.5%
2026-07-24,10:52:53,10:53:07,13.67,86.6%
2026-07-24,10:57:25,10:58:59,93.68,91.3%
2026-07-24,10:59:08,10:59:13,4.90,92.5%
2026-07-24,10:59:18,10:59:20,1.23,86.5%
2026-07-24,10:59:23,10:59:52,28.57,92.1%
2026-07-24,10:59:58,11:00:51,52.22,90.6%
2026-07-24,11:00:54,11:01:28,33.96,89.9%
2026-07-24,11:01:31,11:01:52,21.07,89.8%
2026-07-24,11:01:58,11:02:37,39.37,91.9%
2026-07-24,11:02:40,11:02:43,3.07,87.7%
2026-07-24,11:02:47,11:02:50,3.19,86.8%
2026-07-24,11:02:54,11:03:56,61.64,94.0%
2026-07-24,11:04:07,11:04:09,1.93,92.3%
2026-07-27,10:53:56,10:54:50,53.37,93.7%
2026-07-27,10:54:53,10:56:05,72.52,93.3%
2026-07-27,20:33:50,20:33:53,2.86,92.8%
2026-07-27,20:34:15,20:34:17,2.77,92.5%
2026-07-27,20:34:20,20:34:25,4.61,89.2%
2026-07-27,20:34:28,20:34:33,4.45,90.8%
2026-07-27,20:34:36,20:34:58,21.91,93.4%
2026-07-27,20:35:01,20:35:14,13.00,93.0%
2026-07-27,20:35:17,20:35:20,2.82,89.4%
2026-07-27,20:35:23,20:35:56,32.43,94.8%
2026-07-27,20:35:59,20:36:04,5.28,86.7%
2026-07-27,20:36:07,20:36:40,32.92,94.5%
2026-07-27,20:39:36,20:39:39,2.20,74.2%
2026-07-27,20:39:54,20:39:56,2.59,77.9%
2026-07-27,20:40:41,20:40:43,2.13,84.0%
2026-07-27,21:00:03,21:00:04,1.23,70.3%
2026-07-27,21:04:08,21:04:09,1.13,84.5%
2026-07-27,21:04:12,21:04:14,1.65,83.3%
2026-07-27,21:44:56,21:45:00,4.43,76.4%
2026-07-27,21:45:09,21:45:14,4.18,78.3%
2026-07-27,21:45:21,21:45:39,18.23,74.8%
2026-07-27,21:46:26,21:46:41,14.88,79.3%
2026-07-27,21:46:45,21:46:47,2.26,58.5%
2026-07-27,21:46:56,21:47:17,20.64,82.6%
2026-07-27,21:47:27,21:47:30,3.01,61.8%
2026-07-27,21:47:54,21:47:56,2.13,71.2%
2026-07-27,21:48:07,21:48:09,2.15,53.3%
2026-07-27,21:48:19,21:48:28,9.39,72.3%
2026-07-27,21:48:32,21:48:43,10.29,52.8%
2026-07-27,21:48:54,21:48:58,4.42,83.1%
2026-07-27,21:49:08,21:49:54,45.58,77.2%
2026-07-27,21:54:35,21:54:39,3.83,52.9%
2026-07-27,21:54:43,21:55:04,21.39,52.0%
2026-07-27,21:55:08,21:55:16,7.84,52.5%
2026-07-27,21:55:43,21:55:58,15.00,61.2%
2026-07-27,21:56:03,21:56:25,21.34,56.7%
2026-07-27,21:56:30,21:56:32,2.41,28.7%
2026-07-27,21:57:29,21:57:34,5.01,46.4%
2026-07-27,21:57:44,21:58:03,19.07,56.4%
2026-07-27,21:58:09,21:58:14,4.76,54.9%
2026-07-27,21:58:36,21:58:41,5.17,50.6%
2026-07-27,21:58:51,21:58:56,4.81,54.7%
2026-07-27,21:59:15,21:59:20,5.09,54.9%
2026-07-27,21:59:28,21:59:39,11.58,52.6%
2026-07-27,21:59:46,22:00:12,26.66,65.0%
2026-07-27,22:00:21,22:00:39,18.43,56.1%
2026-07-27,22:00:43,22:00:48,4.81,66.4%
2026-07-27,22:00:53,22:01:31,38.25,66.6%
2026-07-27,22:01:35,22:02:10,35.55,74.9%
2026-07-27,22:02:13,22:02:52,38.81,59.5%
2026-07-27,22:03:04,22:03:52,47.34,71.5%
2026-07-27,22:03:56,22:04:18,21.95,60.3%
2026-07-27,22:04:28,22:04:33,4.94,56.8%
2026-07-27,22:05:53,22:05:58,5.43,59.4%
2026-07-27,22:06:05,22:06:07,2.18,49.9%
2026-07-27,22:06:15,22:06:22,7.19,64.5%
2026-07-27,22:06:40,22:06:48,7.17,84.2%
2026-07-27,22:06:52,22:06:59,6.50,72.4%
2026-07-27,22:07:11,22:07:28,16.96,64.8%
2026-07-27,22:07:54,22:08:08,14.08,57.0%
2026-07-27,22:08:24,22:08:40,16.11,43.0%
2026-07-27,22:08:46,22:08:52,5.12,46.4%
2026-07-27,22:08:57,22:09:22,25.58,55.4%
2026-07-27,22:09:26,22:09:48,21.30,57.2%
2026-07-27,22:09:52,22:09:59,6.48,65.7%
2026-07-27,22:10:19,22:10:21,2.12,49.2%
2026-07-27,22:10:45,22:10:47,2.13,41.2%
2026-07-27,22:11:16,22:11:22,5.66,55.9%
2026-07-27,22:11:28,22:11:36,8.31,59.2%
2026-07-27,22:12:00,22:12:02,2.17,31.8%
2026-07-27,22:12:13,22:12:17,3.67,42.2%
2026-07-27,22:12:57,22:13:01,3.22,62.0%
2026-07-27,22:13:06,22:13:31,25.18,60.5%
2026-07-27,22:13:35,22:13:45,9.80,51.2%
2026-07-27,22:13:48,22:13:54,5.23,43.0%
2026-07-27,22:14:26,22:14:33,6.88,66.4%
2026-07-27,22:15:53,22:15:55,2.16,51.6%
2026-07-27,22:16:02,22:16:10,7.83,55.1%
2026-07-27,22:17:02,22:17:07,5.23,47.6%
2026-07-27,22:17:13,22:17:28,15.57,58.0%
2026-07-27,22:17:48,22:18:17,29.57,53.9%
2026-07-27,22:29:26,22:29:29,3.25,54.5%
2026-07-27,22:30:22,22:30:37,14.44,76.6%
2026-07-27,22:30:49,22:30:52,2.34,52.1%
2026-07-27,22:31:03,22:31:11,8.55,51.1%
2026-07-27,22:31:15,22:31:40,25.45,48.2%
2026-07-27,22:31:47,22:31:49,2.30,56.7%
2026-07-27,22:31:53,22:31:58,5.61,52.0%
2026-07-27,22:32:03,22:32:25,22.09,69.5%
2026-07-27,22:32:37,22:32:59,21.70,75.3%
2026-07-27,22:33:23,22:33:30,7.09,51.3%
2026-07-27,22:33:51,22:33:56,4.81,43.0%
2026-07-27,22:34:01,22:34:08,6.93,54.2%
2026-07-27,22:34:32,22:34:35,2.47,29.1%
2026-07-27,22:34:41,22:34:43,2.13,51.3%
